ID,Song Name,Artists,Album Name,Popularity
429IbFR4yp2J81CeTwF5iY,Sweetness,['Jimmy Eat World'],Bleed American,71
7cL0pp1OpgcAUQfS2CsQ23,WW3,"['poptropicaslutz!', 'RIZ LA VIE', 'grandma']",WW3,33
7nnWIPM5hwE3DaUBkvOIpy,Drive,['Incubus'],Make Yourself,79
4JsDHMv5PVO8N07DbDq33r,All I Want,['A Day To Remember'],What Separates Me From You,71
70wYA8oYHoMzhRRkARoMhU,When You Were Young,['The Killers'],Sam's Town,80
2GFwwTIVLjnOrtP7m9luHC,Hurricane,['I Prevail'],TRAUMA,70
34AV8kRHUmM06sdnmDrPRe,Why Do I Hear Breathing?,['Chri$tian Gate$'],Why Do I Hear Breathing?,63
5jZ1Z2GFTf2gwmFc3qiUxs,The Taste of Ink,['The Used'],The Used,68
25CMmGsl22APKhfuj4Tp7j,It's Been Awhile,['Staind'],Break the Cycle,71
0qhGOjVl3uY2N6CAafVmCa,Emotion Sickness,['Queens of the Stone Age'],Emotion Sickness,56
1TVIBCAywA1JeWwTenvmZ1,FYP,['RIZ LA VIE'],FYP,33
2oaK4JLVnmRGIO9ytBE1bt,Dark Necessities,['Red Hot Chili Peppers'],The Getaway,76
63WuQOXohQIxOxIFA2K7bR,SUPERMODEL,['Måneskin'],SUPERMODEL,75
3omXshBamrREltcf24gYDC,First,['Cold War Kids'],Hold My Home,71
6GG73Jik4jUlQCkKg9JuGO,The Middle,['Jimmy Eat World'],Bleed American,84
6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,['3 Doors Down'],The Better Life,83
0UFDKFqW2oGspYeYqo9wjA,Bleed It Out,['Linkin Park'],Minutes to Midnight,81
1Y13csEpu3TK5gQdzGLrd8,Pardon Me,['Incubus'],Make Yourself,72
5tz5QsHPkv69T1scq2utZZ,The Vengeful One,['Disturbed'],Immortalized,52
6tYin3Nya3wS8F48TueJUJ,Keep It Rolling,"['Bloc Party', 'KennyHoopla']",Keep It Rolling,49
7j31rVgGX9Q2blT92VBEA0,Teenagers,['My Chemical Romance'],The Black Parade,83
3LcMLFApeU9uCT8VCWEVjr,Memories (with WILLOW),"['YUNGBLUD', 'WILLOW']",Memories (with WILLOW),56
7qCzenL7S1onPt6QdRsDsd,Into The Dark (feat. Kellin Quinn),"['Point North', 'Kellin Quinn']",Brand New Vision,59
7mUaGkK1gMEuo3IUWCqF0P,Panic,['From Ashes to New'],Panic,61
4AyoAGuhE8gydBPrczuhbl,Trojans,['Atlas Genius'],When It Was Now (Deluxe Edition),48
0grFc6klR3hxoHLcgCYsF4,Howlin' for You,['The Black Keys'],Brothers,71
14zhqtMI5xHrfCFCLhFcsn,Dreams,['Beck'],Colors,57
6nqCVzh5uUc85E0Kctky9r,Talk to a Friend,['Rain City Drive'],To Better Days,66
1hkm127hnTSa2xjGNw8IAE,Disease,['Beartooth'],Disease,61
6pO9pxKxrIHuTRqK7VLP8B,fake friend,"['nothing,nowhere.']",Trauma Factory,52
7yoBjKO6cCnK3zV8gr1k4e,Lydia,['Highly Suspect'],Mister Asylum,66
16DhvbuyvJob4Q9GHNYu2n,She Hates Me,['Puddle Of Mudd'],Come Clean,74
7bdUH0npz854dv3plG8ieT,Saint Cecilia,['Foo Fighters'],Saint Cecilia EP,58
5J1zn7OE12a0gFnjJc0Um6,Tissues,['YUNGBLUD'],YUNGBLUD,58
00okrW9OfjmG0PZJSY3fJd,Stay Away (feat. Machine Gun Kelly & Goody Grace),"['MOD SUN', 'Machine Gun Kelly', 'Goody Grace']",Stay Away (feat. Machine Gun Kelly & Goody Grace),58
1Qdnvn4XlmZANCVy3XjrQo,Show Me How to Live,['Audioslave'],Audioslave,72
2NRa4W3rH4e5GKQMN5Qwyr,Hated,['Beartooth'],Aggressive,62
6XA12laU5GUhas6GcWDLuU,Secrets,['State Champs'],Around the World and Back,47
2avKuMN2QXkaG9vvHa2JLt,Take A Look Around,['Limp Bizkit'],Chocolate Starfish And The Hot Dog Flavored Water,77
030D3duTUTfJORIycOhZNr,For the Glory,['All Good Things'],Machines,65
2CASGo9Wmd6Dxrq3ygnRjf,Jenny,['NOTHING MORE'],Nothing More,62
24tO365YW6lcZr1hN4Ukzj,Tomorrow,['Silverchair'],Frogstomp (Deluxe Edition) [Remastered],66
4tA8lpQoWkMRWOZ29HbR86,Waiting On A War,['Foo Fighters'],Medicine At Midnight,58
17bqduRY9LL8WWXtsSE1Kp,Children of The Dark,['POORSTACY'],Children of The Dark,40
0P9Yw78LZrptziYwD6O0Ed,Hate Me Too,['From Ashes to New'],Hate Me Too,55
6L3VWDPDTQkQFkqvmpAUMU,Something to Believe In,['Young the Giant'],Home of the Strange,58
1aWpVsNjEiqpFvV3KhJiWu,Infinite,"['Silverstein', 'Aaron Gillespie']",Infinite,51
2nIulsLMiP2SMTDrtxfQXX,Out of the Black,['Royal Blood'],Royal Blood,55
78fUyqhfdpL5aaD12QSGCi,DOA [Feat. Joyner Lucas],"['I Prevail', 'Joyner Lucas']",DOA [Feat. Joyner Lucas],52
76aadnUFFANRNDs6L3aqxw,Through Glass,['Stone Sour'],Come What(ever) May [Special Edition],51
5NFXaR31k0gmII07w6OJIt,Born For Greatness,['Papa Roach'],Crooked Teeth,64
2D9BrlpeyjXF0vli2dYQ5V,Angels Fall,['Breaking Benjamin'],Dark Before Dawn,67
0Tr5G2mE56eLUGvCaXRM8I,No Good,['KALEO'],A/B,66
2hVKFfp7Rmr2XPK31jFCrX,Mindreader,['A Day To Remember'],Mindreader,51
109mkG2S2huV1S5xFRbJgF,OUTRUN MYSELF (with Travis Barker),"['Jack Kays', 'Travis Barker']",OUTRUN MYSELF (with Travis Barker),55
4FX7dhugVxsKsyC4DgwJyM,Black Honey,['Thrice'],Black Honey,44
597i9UhHbW8hHgBUp8Tm54,Panic Switch,['Silversun Pickups'],Swoon,57
3NyovXfcpc8PDWWKH7xEDs,S.O.S. (Sawed Off Shotgun),['The Glorious Sons'],Young Beauties and Fools,59
7oib44NmCMvGNWnDDJjv5C,NO WAY OUT,['The Word Alive'],MONOMANIA,53
3GzS0iKqyGMHwR1TimM2KN,Hollow Life,['Coast Modern'],Coast Modern,46
5RBWMYMSe6ihNb0hC8ro8v,Killing Me Slowly,['Bad Wolves'],N.A.T.I.O.N.,64
2pYaGdqXBrl8MdvuwgtBb7,Legendary,['Skillet'],Victorious,64
1uqU0nq6DCbJMktSlUvQV8,Trip Switch,['Nothing But Thieves'],Nothing But Thieves (Deluxe),59
1JcGNoiwifg0MdJMVgJQYx,Get Free,['The Vines'],Highly Evolved,66
7JP8lWYrxpA8luKU8IPd3Y,Alone Again,['Asking Alexandria'],See What’s On The Inside,57
6bmJYonQyJrjlmBiGf9OeK,No Love In LA,['Palaye Royale'],Fever Dream,61
52LL3IFB8N3PaJmoZ8Xii1,The Way You Used To Do,['Queens of the Stone Age'],Villains,63
0cRGA4WwyzoOdnOcui7d1e,"One Hell of a Team (Inspired by ""Hazbin Hotel"")","['AmaLee', 'Divide Music']","One Hell of a Team (Inspired by ""Hazbin Hotel"")",57
5gq0IiJ86S2QpD3V4H9KhH,Find Another Bar,['Chris Lane'],Find Another Bar,61
4eIGig7wMD4iZfPKGinoGr,Fix You Too (feat. Kameron Marlowe),"['Megan Moroney', 'Kameron Marlowe']",Lucky (Deluxe),66
65M92JpTbAdHmTQm4jGaDa,Think I'm In Love With You,['Chris Stapleton'],Think I’m In Love With You,76
2fRqb3yoCI9cbRASkEMo3m,Came The Closest,['Sam Hunt'],Came The Closest,0
5Z48gU2EpgzhECkuuXp4Ev,Some Whiskey,['Warren Zeiders'],Pretty Little Poison,64
6l3bRfHOeki9Qvwtto6gvJ,Wild,['Carter Faith'],Wild,60
0eBFgRxyVSeuT4iyrbukdn,Where the Wild Things Are,['Luke Combs'],Gettin' Old,75
4hAfjznZNYNHDUwk8blpTb,How It Looks From Here,['Conner Smith'],How It Looks From Here,57
671XjQmF7A0w5aN74AhNWt,Cowboy Back,['Gabby Barrett'],Cowboy Back,56
3oZ6dlSfCE9gZ55MGPJctc,’98 Braves,['Morgan Wallen'],One Thing At A Time,79
1V9vDStzw6C7pXSsIrzER2,Go Get Her,['Restless Road'],Last Rodeo,0
5H1WgNxf2Fb3EJWn4QgX5E,Tails I Lose,['Parker McCollum'],Never Enough,62
0XgOhyJWH5UVWyV7farWDr,Paint The Town Blue,['Ella Langley'],Paint The Town Blue,57
26YMRlGr9HkK93yjbRjqbZ,After We Broke Up,['David J'],After We Broke Up,0
7mhe8marcC1uyu17L5oxyF,Pray All The Way Home,['Austin Snell'],Pray All The Way Home,70
0hQyFpC8af9Dj89fEYkXPG,ghost in my guitar (feat. Chris Stapleton),"['Alana Springsteen', 'Chris Stapleton']",TWENTY SOMETHING,60
4wkFfuijPHrw45ddeek4fu,I Don't Think That I Could Love You,['CHASE WRIGHT'],I Don't Think That I Could Love You,58
7KzKQGfTsZfhAWCFoG5acX,Killed The Cowboy,['Dustin Lynch'],Killed The Cowboy,59
6vbesEByLl4HPeX71QMwBa,Stayed A Summer,['Erin Kinsey'],Bet My Heart,60
2iEhrJwK2glWAvqtyuulgq,Wrong Side of a Sunrise,['Adam Doleac'],Wrong Side of a Sunrise,62
67zZ26O7nHAyL76sEx3tIS,Love You Back,['Lady A'],Love You Back,59
55a01VsdKH2OeSXLGy9wd5,Jack and Diet Coke,['Redferrin'],Jack and Diet Coke,66
1TiAmIJNwfRmneV5iyTdMG,Tell Me Tennessee,['Matt Schuster'],Tell Me Tennessee,56
1u2Fe70Qm9VFCIMPWFlfc1,Deep Satin,['Zach Bryan'],Boys Of Faith,79
12qLkwjMVp1eTvHfjl2M5g,Anybody But You,['Lauren Watkins'],Introducing: Lauren Watkins,59
2d3KkBpDlOCLT5Wlhrwhfd,Things I Take For Granted,['Larry Fleet'],Earned It,64
1MCUz8U559nGEN377EHHaY,Young Love & Saturday Nights,['Chris Young'],Young Love & Saturday Nights,63
3PyRSNu87qhTv5UwGrkedR,Runaways,['Danielle Bradbery'],Runaways,57
28dwWN6sZQGBSZuMdCbbQY,BREAK IT IN A BAR,['Graham Barham'],BREAK IT IN A BAR,61
5sYsGGJ87apKstNPKgiZFo,Match For My Memory,['Robyn Ottolini'],Match For My Memory,59
5amuqAOkKdHenSjPaAUQXA,I'll Be A Bartender,['Dylan Scott'],I'll Be A Bartender,63
4usnf7irdy9PrVsmb82BXI,Breakin' in Boots,['Matt Stell'],Breakin' in Boots,58
1v1bVyUOVYDpXRIcAJ24iQ,Let Your Boys Be Country,['Jason Aldean'],Let Your Boys Be Country,64
73vGr4FjFvY2TgndujZYDa,mean girl (feat. Colbie Caillat),"['Ashley Cooke', 'Colbie Caillat']",shot in the dark,61
1xVjqCBkpIUMe3EmW0PxTM,Fearless - The Echo,['Jackson Dean'],Fearless (The Echo),66
5NdYqiRuJdRIyHZU0OIEYy,Heart to Break,['Ryan Griffin'],Phases,60
6zZVxqTT1eDCcE0APUatbx,Chasing Tornadoes,['MacKenzie Porter'],Chasing Tornadoes,57
5GcziNdXVXWJKK5pNOwCcG,Something Real,['Dierks Bentley'],Gravel & Gold,62
4pbC1GVfup5aAKGeXgPNvC,Leaving Looks Good on You,['LANCO'],"Run, Run, Baby",54
0tEugNCWzzwp1VeqzpKLsB,Dirt Cheap,['Brian Kelley'],Dirt Cheap,59
0NgdKtJy6pKBvWhcVuQbxd,Thicc As Thieves (feat. Lainey Wilson),"['Lauren Alaina', 'Lainey Wilson']",Unlocked,63
5bu8p495FPdRySYSptdny2,Goin For Broke,['Bryan Martin'],Goin For Broke,66
76BzLwrirxKlnPfNVFdc7n,City Don't,['Billy Currington'],City Don't,59
6hTSmdJNg2kFGrNAZdkYzR,Ride The Wave,['Russell Dickerson'],Three Months Two Streets Down,62
7CwEDwMKJOimuaw6nOtE2r,Summer Don't Go,['Tenille Arts'],Summer Don't Go,58
1cF5gDFBHOprIKwzFORNjH,Ain't Doin' Jack,['Josh Ross'],Ain't Doin' Jack,65
0wXThIDxO3YRJCpPgnmbkw,Where It Ends,['Bailey Zimmerman'],Religiously. The Album.,75
3axBDZmJLbGw61413B8XIS,Women Ain’t Whiskey,['Ashley McBryde'],The Devil I Know,59
5tbPAlC6DtO9LvqbN3GJ8D,All Again,['Charles Wesley Godwin'],Family Ties (Sampler),65
5lzi9kb10icgVpEDbqp0kL,Little Less Lonely,['Chayce Beckham'],Little Less Lonely,58
1zfPNHikEYPcPLxJRdDeIk,Always Gonna Be,['Dan + Shay'],Always Gonna Be,63
2ClUu1kEWAGb6KZroRkkUq,Fake Names,['Priscilla Block'],Fake Names,59
5JDM1KbfvautHx2Il9DjMZ,Mississippi Or Me,['Riley Green'],Mississippi Or Me,67
5t9emg56o3DdxYCVNcG1z4,The Reason I Stay,['Abby Anderson'],First To Hit The Road,55
2Kw5QYMTLrRV7jpoE8YkMg,Hey Whiskey,['Tim McGraw'],Hey Whiskey,56
7yZxBR1o5HBbS40fV9KlWh,Friends,['Tyler Braden'],Friends,57
2kE2HFBFkJ0VMw3igxYohz,Wild Ones (feat. Jelly Roll),"['Jessie Murph', 'Jelly Roll']",Wild Ones (feat. Jelly Roll),79
4XPefX4QY9EWhrwLL528Fc,Home Team,['Lakeview'],Home Team,65
3ijPMKSNCF1sfwKPsnIrIW,Beneath Oak Trees,['Dylan Gossett'],Beneath Oak Trees,64
1exnSf5fH7OBKDvxduf0LT,Work Boots,['Cody Johnson'],Work Boots and More from Leather,66
6mu9Jh4M8tAZyk3Z1qqgji,A Few Hearts Ago,['Kylie Morgan'],A Few Hearts Ago,60
1gViTTMR3v0COYuvIHIxVL,Remember Us,['John Morgan'],Remember Us?,53
4QShZHQERrTVI2IDzWmbzJ,Heels Over Head,['Carly Pearce'],Heels Over Head,58
4pCbJC43j3gSqG6Fen6upD,Hey Driver (feat. The War and Treaty),"['Zach Bryan', 'The War and Treaty']",Zach Bryan,87
78Du4CMFgnhdlG33gblkiP,Rich Men North of Richmond,['Oliver Anthony Music'],Rich Men North of Richmond,88
4kXeBpZekIq5f6I6hFcNk5,Mean Old Sun,['Turnpike Troubadours'],Mean Old Sun,59
6DHPLbudo5JXNdUlG7zDcC,Please Don't Go,['Wyatt Flores'],Please Don't Go,79
10kDUCSM3OZ99MfMcRboZB,Rain In The Rearview,['Anne Wilson'],REBEL (The Beginning),55
6LCY0s8iDoooe8eMkdEQMu,I Know A Guy,['Alex Hall'],Side Effects Of The Heart,48
56CmYOZ5YNtmuVUtY5W5jF,Fall In Love With Me,['Morgan Wade'],Fall In Love With Me,56
5Izy5w7WRKyOTH7CtWgyPG,Never Been Over,['Darius Rucker'],Carolyn's Boy,59
0S1fmk6xz49SHINeXXpStW,Different About You,['Old Dominion'],Memory Lane,64
7Gt9tznlLCCe2gZoRzuLhD,Meant For Me,['Colbie Caillat'],Along The Way,60
5F8MMujEHaI2qqmj4EcwBP,Boyfriend,['Parmalee'],Boyfriend,54
1YfyfFBZ7cY7wgwtZEq3tf,Cowboys and Plowboys,"['Jon Pardi', 'Luke Bryan']",Cowboys and Plowboys,64
4Pqc5qu1C7SZVuWz0d1Zut,Fool's Gold,['Kimberly Perry'],Fool's Gold,50
5rKW8ILxOxr8fjEFxpiC6g,Thank God She's a Country Girl,['Morgan Evans'],Thank God She's A Country Girl,56
0rAsn40XCigrz7XZNxV2pr,Dirt Roads And Jesus,['Dalton Dover'],Never Giving Up On That,53
7BH39iq4k2366YgJgbf8b4,I Will (When You Do),"['Avery Anna', 'Dylan Marlowe']",I Will (When You Do),60
5qqIccBZC1LfSGPU04Px26,I Can Lie (The Truth Is),['Kameron Marlowe'],I Can Lie (The Truth Is),62
3bf3XBOxWYhspKjUNsmD8Q,Nothing Compares To You (Feat. Kane Brown),"['Mickey Guyton', 'Kane Brown']",Nothing Compares To You (Feat. Kane Brown),62
5tAoi3TfoWB4esWc5hlLJ8,Southern and Slow,['Luke Bryan'],Southern and Slow,61
7ccQIxIpqbY4PHtPZVeTgT,Sun Ain't Even Gone Down Yet,['Brothers Osborne'],Sun Ain't Even Gone Down Yet,54
6nBdLYF7BwSpTb2ygw8oFK,Wine Country,['Hannah Ellis'],Wine Country,55
47EkFFYRTlgatkXS0gg5FZ,Good With Me,['Walker Hayes'],Good With Me,58
2aIYyC8gSLw0H3CNLhGajr,"Jesus, My Mama, My Therapist",['Tiera Kennedy'],"Jesus, My Mama, My Therapist",52
5ADo2azXSsHQu0mC2RxgXq,Telluride,['Jade Eagleson'],Do It Anyway,59
6mFw6OhoyHsEdRFCCNY8LP,Drunk and Hungover,['Carrie Underwood'],Denim & Rhinestones (Deluxe Edition),60
7HoqLd4ZXftkWF1TkQgSt2,I ain't Country,"['Jon Langston', 'Travis Denning']",Heart On Ice,57
5uTQC24DoCTc287oH8Xpp4,I’m In Love,['Hailey Whitters'],I'm In Love,57
3PigB8AnVf6zPtWvVC5fJL,Never Not Remember You,['Cooper Alan'],Never Not Remember You,61
73LXlPOFCWBAGlkQT28KGN,Cracks,['BRELAND'],Cross Country: The Extra Mile,54
2ulmNFm5fVsK5mlOQNdhJI,The Tree,['Maren Morris'],The Bridge,65
3MEw32BjByG0vS8YVe5Sfa,Son Of The Mountains,"['Brad Paisley', 'Dan Tyminski', 'Jerry Douglas']",Son Of The Mountains: The First Four Tracks,54
7pNCw2WPlLImrZSSI3tXC8,Mornings With You (with Kaitlin Butts),"['Flatland Cavalry', 'Kaitlin Butts']",Mornings With You (with Kaitlin Butts),61
6pfaZlwCqlzyhZasTMdfxz,Pill,['Elvie Shane'],Pill,52
2jMetr6nF6WLRPzRmGh1Pc,Worst In Me,['Avery Anna'],Worst In Me,56
4MEJ73SRDNLQSHpqTkdjm6,Luke Combs,['Tanner Adell'],BUCKLE BUNNY (DELUXE),54
67tSyNccxstGL1kLSR0wIb,Cab In A Solo,['Scotty McCreery'],Cab In A Solo,59
